# x cp
1.00000 0.18697
0.99168 0.16861
0.98037 0.14324
0.96727 0.11599
0.95272 0.08818
0.93720 0.06109
0.92112 0.03544
0.90474 0.01144
0.88821 -0.01099
0.87160 -0.03204
0.85494 -0.05190
0.83827 -0.07079
0.82158 -0.08887
0.80488 -0.10629
0.78817 -0.12318
0.77146 -0.13965
0.75475 -0.15580
0.73803 -0.17170
0.72132 -0.18742
0.70460 -0.20303
0.68789 -0.21858
0.67118 -0.23413
0.65447 -0.24971
0.63777 -0.26537
0.62108 -0.28115
0.60440 -0.29709
0.58772 -0.31322
0.57106 -0.32956
0.55441 -0.34616
0.53778 -0.36304
0.52116 -0.38023
0.50456 -0.39775
0.48798 -0.41565
0.47143 -0.43393
0.45489 -0.45264
0.43839 -0.47180
0.42191 -0.49144
0.40546 -0.51158
0.38905 -0.53227
0.37268 -0.55353
0.35635 -0.57539
0.34007 -0.59788
0.32383 -0.62105
0.30766 -0.64490
0.29154 -0.66947
0.27550 -0.69475
0.25953 -0.72072
0.24366 -0.74729
0.22788 -0.77425
0.21222 -0.80124
0.19670 -0.82807
0.18135 -0.85703
0.16619 -0.90197
0.15127 -0.99688
0.13666 -1.03728
0.12246 -1.07568
0.10877 -1.12080
0.09575 -1.17130
0.08358 -1.22657
0.07242 -1.28588
0.06239 -1.34831
0.05354 -1.41279
0.04581 -1.47832
0.03910 -1.54397
0.03329 -1.60897
0.02826 -1.67250
0.02387 -1.73360
0.02003 -1.79098
0.01666 -1.84274
0.01369 -1.88612
0.01108 -1.91714
0.00879 -1.93017
0.00678 -1.91750
0.00505 -1.86911
0.00358 -1.77319
0.00236 -1.61805
0.00140 -1.39619
0.00070 -1.11033
0.00024 -0.77697
0.00003 -0.42754
0.00003 -0.09550
0.00024 0.21737
0.00070 0.49209
0.00140 0.70982
0.00236 0.86180
0.00358 0.95326
0.00505 0.99417
0.00678 0.99765
0.00879 0.97472
0.01108 0.93454
0.01369 0.88302
0.01666 0.82523
0.02003 0.76348
0.02387 0.70029
0.02826 0.63652
0.03329 0.57326
0.03910 0.51103
0.04581 0.45044
0.05354 0.39211
0.06239 0.33674
0.07242 0.28511
0.08358 0.23793
0.09575 0.19568
0.10877 0.15848
0.12246 0.12614
0.13666 0.09827
0.15127 0.07438
0.16619 0.05395
0.18135 0.03653
0.19670 0.02171
0.21222 0.00913
0.22788 -0.00151
0.24366 -0.01046
0.25953 -0.01794
0.27550 -0.02414
0.29154 -0.02921
0.30766 -0.03329
0.32383 -0.03650
0.34007 -0.03894
0.35635 -0.04071
0.37268 -0.04187
0.38905 -0.04250
0.40546 -0.04265
0.42191 -0.04239
0.43839 -0.04175
0.45489 -0.04078
0.47143 -0.03950
0.48798 -0.03796
0.50456 -0.03617
0.52116 -0.03416
0.53778 -0.03195
0.55441 -0.02955
0.57106 -0.02697
0.58772 -0.02422
0.60440 -0.02130
0.62108 -0.01822
0.63777 -0.01497
0.65447 -0.01155
0.67118 -0.00794
0.68789 -0.00413
0.70460 -0.00010
0.72132 0.00416
0.73803 0.00870
0.75475 0.01355
0.77146 0.01875
0.78817 0.02434
0.80488 0.03036
0.82158 0.03682
0.83827 0.04368
0.85494 0.05081
0.87160 0.05791
0.88821 0.06454
0.90474 0.07028
0.92112 0.07506
0.93720 0.07915
0.95272 0.08242
0.96727 0.08501
0.98037 0.08716
0.99168 0.13010
1.00000 0.18697
